task,target,A,B,mean_diff,ci_low,ci_high,p_raw,p_adj,n_subjects
journaling,PictureNamingScore,linguistic,full,-0.024488027781963354,-0.04555280977760895,-0.0036637730144417993,0.025,0.17500000000000002,959
journaling,PictureNamingScore,acoustic,linguistic,-0.05987085682431741,-0.1116842331958714,-0.007423238854337949,0.03,0.18,959
journaling,PictureNamingScore,linguistic,linguistic+acoustic,-0.023469615227840093,-0.0443933646627367,-0.002314375793712896,0.03,0.18,959
journaling,PictureNamingScore,baseline,acoustic,-0.04256385730677829,-0.09471910756732801,0.012778466193282607,0.126,0.504,959
journaling,PictureNamingScore,baseline,demographics,-0.03066721316218419,-0.09209830800101876,0.025786887718587195,0.316,0.948,959
journaling,PictureNamingScore,demographics,acoustic,-0.011896644144594105,-0.0647745917953537,0.03941482366370986,0.671,1.0,959
journaling,PictureNamingScore,linguistic+acoustic,full,-0.001018412554123257,-0.007225712565404916,0.0051027784642289796,0.786,1.0,959
journaling,SemanticFluencyScore,baseline,acoustic,-0.10257664087390414,-0.14163973440699698,-0.06288030381547521,0.0,0.0,970
journaling,SemanticFluencyScore,baseline,linguistic,-0.08449123448919889,-0.12013142859962059,-0.04935187366262293,0.0,0.0,970
journaling,SemanticFluencyScore,baseline,linguistic+acoustic,-0.1607080264503371,-0.20069283545455463,-0.12275969078498185,0.0,0.0,970
journaling,SemanticFluencyScore,baseline,full,-0.17155698564441643,-0.21030736044596285,-0.13607951204697702,0.0,0.0,970
journaling,SemanticFluencyScore,demographics,linguistic+acoustic,-0.12200503126515101,-0.17398291153420054,-0.07042468983292158,0.0,0.0,970
journaling,SemanticFluencyScore,demographics,full,-0.13285399045923038,-0.18152315248753184,-0.08542238515874857,0.0,0.0,970
journaling,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.058131385576432965,-0.08360740960582577,-0.03175916992543268,0.0,0.0,970
journaling,SemanticFluencyScore,acoustic,full,-0.06898034477051229,-0.09359147627385303,-0.04318229221352899,0.0,0.0,970
journaling,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.0762167919611382,-0.10316511648773134,-0.051307421052115255,0.0,0.0,970
journaling,SemanticFluencyScore,linguistic,full,-0.08706575115521756,-0.11325429400617477,-0.06278084324069894,0.0,0.0,970
journaling,SemanticFluencyScore,linguistic+acoustic,full,-0.010848959194079343,-0.017379477574264026,-0.004253964746410892,0.0,0.0,970
journaling,SemanticFluencyScore,demographics,acoustic,-0.06387364568871808,-0.11510271713819031,-0.011076459676127439,0.019,0.076,970
journaling,SemanticFluencyScore,baseline,demographics,-0.03870299518518607,-0.07994414527598133,0.002529336152198397,0.066,0.198,970
journaling,SemanticFluencyScore,demographics,linguistic,-0.04578823930401282,-0.09656708080004903,0.003830142888822076,0.071,0.198,970
journaling,SemanticFluencyScore,acoustic,linguistic,0.018085406384705252,-0.021834771053498105,0.060384757923048364,0.43,0.43,970
journaling,PhonemicFluencyScore,linguistic,full,-0.02903652499770904,-0.045256996733381516,-0.011346455152099979,0.0,0.0,970
journaling,PhonemicFluencyScore,acoustic,linguistic+acoustic,-0.03377886686553813,-0.05484735120077402,-0.013422582191882856,0.001,0.014,970
journaling,PhonemicFluencyScore,acoustic,full,-0.035972413087844844,-0.05709863647431778,-0.015558844874632617,0.001,0.014,970
journaling,PhonemicFluencyScore,linguistic,linguistic+acoustic,-0.026842978775402326,-0.04426100717833652,-0.00764444104852986,0.002,0.024,970
journaling,PhonemicFluencyScore,baseline,full,-0.03652183241776255,-0.06285353471108761,-0.012066339597136388,0.004,0.044,970
journaling,PhonemicFluencyScore,baseline,linguistic+acoustic,-0.034328286195455845,-0.06117206464443133,-0.008810190865783841,0.007,0.07,970
journaling,PhonemicFluencyScore,demographics,full,-0.055645387176542674,-0.09431826946080712,-0.01869432098844697,0.007,0.07,970
journaling,PhonemicFluencyScore,demographics,linguistic+acoustic,-0.05345184095423596,-0.09285417120953583,-0.015921879847651626,0.01,0.08,970
journaling,PhonemicFluencyScore,baseline,demographics,0.01912355475878012,-0.016308936276982544,0.055713249330337444,0.312,1.0,970
journaling,PhonemicFluencyScore,baseline,acoustic,-0.0005494193299177071,-0.030367365791923676,0.027914331892327292,0.973,1.0,970
journaling,PhonemicFluencyScore,baseline,linguistic,-0.0074853074200535155,-0.030710036815709826,0.014871572366535942,0.575,1.0,970
journaling,PhonemicFluencyScore,demographics,acoustic,-0.019672974088697823,-0.06380489007684557,0.021779132888748984,0.36,1.0,970
journaling,PhonemicFluencyScore,demographics,linguistic,-0.026608862178833636,-0.06384970519665299,0.00944893059009767,0.192,1.0,970
journaling,PhonemicFluencyScore,acoustic,linguistic,-0.006935888090135809,-0.03872431550195081,0.022866919914880105,0.699,1.0,970
journaling,PhonemicFluencyScore,linguistic+acoustic,full,-0.002193546222306714,-0.008529822159741593,0.003969764327816595,0.479,1.0,970
