target,task,model,fold,r2,rmse,mae,estimator
PhonemicFluencyScore,picnicScene,demographics,1,-0.044688963228669554,4.51881956682315,3.5624038864726306,RandomForestRegressor
PhonemicFluencyScore,picnicScene,demographics,2,-0.019749282686981395,4.843491268766979,3.886421023015802,RandomForestRegressor
PhonemicFluencyScore,picnicScene,demographics,3,-0.04834634371009039,4.4798635957968616,3.6373785712920648,RandomForestRegressor
PhonemicFluencyScore,picnicScene,demographics,4,0.025698825876579234,4.8088303568324715,3.7875881368866,RandomForestRegressor
PhonemicFluencyScore,picnicScene,acoustic,0,0.04112695912296471,4.615089681714852,3.6500089701810103,RandomForestRegressor
PhonemicFluencyScore,picnicScene,acoustic,1,0.05363792584175786,4.300908082413687,3.4246502574950566,RandomForestRegressor
PhonemicFluencyScore,picnicScene,acoustic,2,0.014928137083391024,4.760425512914054,3.790622879492306,RandomForestRegressor
PhonemicFluencyScore,picnicScene,acoustic,3,0.04261253824798561,4.281108808718929,3.522692987511122,RandomForestRegressor
PhonemicFluencyScore,picnicScene,acoustic,4,0.06177519513378815,4.718960030932038,3.690678501792635,RandomForestRegressor
PhonemicFluencyScore,picnicScene,linguistic,0,0.005199059655024985,4.700755730216534,3.689062725796967,RandomForestRegressor
PhonemicFluencyScore,picnicScene,linguistic,1,0.025388006371527494,4.364629393653045,3.487889118002366,RandomForestRegressor
PhonemicFluencyScore,picnicScene,linguistic,2,-0.029365099902988856,4.866273754822941,3.9952463715002993,RandomForestRegressor
PhonemicFluencyScore,picnicScene,linguistic,3,0.05027162593350665,4.263950013886248,3.4879015910028115,RandomForestRegressor
PhonemicFluencyScore,picnicScene,linguistic,4,0.03330858479814314,4.790013909031288,3.7268964136097993,RandomForestRegressor
PhonemicFluencyScore,picnicScene,linguistic+acoustic,0,0.03277495305472489,4.635145353543736,3.661383350922341,RandomForestRegressor
PhonemicFluencyScore,picnicScene,linguistic+acoustic,1,0.04510838338498757,4.320246605014342,3.4523076220956064,RandomForestRegressor
PhonemicFluencyScore,picnicScene,linguistic+acoustic,2,0.01947436835980998,4.749427826300968,3.8643981226084794,RandomForestRegressor
PhonemicFluencyScore,picnicScene,linguistic+acoustic,3,0.062270854092436045,4.236928211550229,3.4863426503212938,RandomForestRegressor
PhonemicFluencyScore,picnicScene,linguistic+acoustic,4,0.07891189898323314,4.675665453318311,3.644102867688207,RandomForestRegressor
PhonemicFluencyScore,picnicScene,full,0,0.03847496236092218,4.621467351870332,3.661942473339002,RandomForestRegressor
PhonemicFluencyScore,picnicScene,full,1,0.05101153193056318,4.306872000841555,3.4296141076223523,RandomForestRegressor
PhonemicFluencyScore,picnicScene,full,2,0.021836406289663657,4.743703808203594,3.852159445153966,RandomForestRegressor
PhonemicFluencyScore,picnicScene,full,3,0.07032658494099764,4.218689910372781,3.4670544537337267,RandomForestRegressor
PhonemicFluencyScore,picnicScene,full,4,0.07760090541053144,4.678991730013362,3.6448378027334907,RandomForestRegressor
PhonemicFluencyScore,picnicScene,baseline,0,-0.0006890009844577882,4.714646700042056,3.733287278137953,DummyRegressor
PhonemicFluencyScore,picnicScene,baseline,1,-0.011120548878175374,4.44562642888221,3.525858766441068,DummyRegressor
PhonemicFluencyScore,picnicScene,baseline,2,-0.004183647976962135,4.806383161261375,3.874080594287848,DummyRegressor
PhonemicFluencyScore,picnicScene,baseline,3,-0.0008405491686924726,4.377184417704367,3.583828580059233,DummyRegressor
PhonemicFluencyScore,picnicScene,baseline,4,-0.0004203469686121508,4.872861880089087,3.8209760132340778,DummyRegressor
PhonemicFluencyScore,cookieTheft,demographics,0,-0.031995777227207034,4.787828115141771,3.8180873065136356,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,demographics,1,-0.044688963228669554,4.51881956682315,3.5624038864726306,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,demographics,2,-0.019749282686981395,4.843491268766979,3.886421023015802,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,demographics,3,-0.04834634371009039,4.4798635957968616,3.6373785712920648,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,demographics,4,0.025698825876579234,4.8088303568324715,3.7875881368866,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,acoustic,0,-0.006029273736704477,4.727210042939407,3.7263998495632573,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,acoustic,1,0.05034155432414067,4.308392039696192,3.5286863791419347,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,acoustic,2,0.03815570230605092,4.7039663272716075,3.8025095118272443,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,acoustic,3,0.042788906704260166,4.280714460892806,3.5255220224895947,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,acoustic,4,0.030540456571142127,4.796867127125668,3.7525165917625074,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,linguistic,0,0.02701884480371275,4.648917133629927,3.641330340241255,RandomForestRegressor
