Subject_ID,PhonemicFluencyScore,PictureNamingScore,SemanticFluencyScore
942,13.0,18.0,19.0
943,18.0,17.0,11.0
944,19.0,,11.0
945,13.0,12.0,21.0
947,15.0,19.0,16.0
948,9.0,12.0,15.0
950,10.0,16.0,3.0
951,10.0,,11.0
952,15.0,,8.0
953,14.0,12.0,10.0
954,13.0,18.0,15.0
956,12.0,16.0,22.0
957,21.0,,16.0
958,10.0,20.0,24.0
960,18.0,20.0,22.0
962,15.0,17.0,15.0
963,14.0,18.0,20.0
964,14.0,18.0,16.0
965,17.0,16.0,18.0
966,24.0,19.0,26.0
967,11.0,19.0,23.0
968,20.0,13.0,21.0
969,5.0,19.0,18.0
970,11.0,18.0,18.0
971,19.0,18.0,19.0
972,7.0,17.0,17.0
973,24.0,17.0,18.0
975,20.0,19.0,23.0
979,16.0,19.0,17.0
981,21.0,20.0,28.0
982,16.0,16.0,23.0
983,19.0,18.0,27.0
984,13.0,14.0,20.0
985,14.0,15.0,30.0
986,9.0,20.0,30.0
988,15.0,19.0,26.0
989,20.0,19.0,25.0
991,19.0,18.0,30.0
993,13.0,17.0,22.0
994,15.0,,15.0
997,16.0,19.0,24.0
998,9.0,17.0,16.0
999,13.0,17.0,17.0
1000,18.0,17.0,22.0
1001,14.0,15.0,17.0
1002,24.0,20.0,23.0
1003,13.0,11.0,15.0
1004,15.0,18.0,24.0
1005,13.0,18.0,14.0
1006,10.0,19.0,23.0
1007,17.0,20.0,26.0
1008,17.0,20.0,29.0
1009,17.0,18.0,18.0
1010,18.0,20.0,30.0
1011,15.0,17.0,18.0
1012,18.0,20.0,31.0
1013,13.0,19.0,23.0
1014,7.0,19.0,26.0
1015,16.0,17.0,23.0
1016,21.0,16.0,23.0
1017,14.0,18.0,22.0
1018,21.0,18.0,23.0
1019,13.0,17.0,25.0
1020,9.0,18.0,17.0
1021,8.0,18.0,17.0
1022,14.0,19.0,12.0
1023,28.0,19.0,27.0
1024,16.0,19.0,24.0
1025,20.0,20.0,16.0
1026,13.0,20.0,18.0
1027,12.0,14.0,12.0
1028,16.0,18.0,23.0
1029,11.0,17.0,25.0
1030,19.0,15.0,22.0
1032,10.0,20.0,19.0
1036,20.0,11.0,21.0
1037,23.0,19.0,25.0
1038,14.0,19.0,21.0
1039,11.0,17.0,19.0
1040,27.0,15.0,31.0
1041,18.0,18.0,25.0
1044,13.0,20.0,14.0
1045,18.0,18.0,25.0
1046,10.0,20.0,13.0
1047,13.0,18.0,21.0
1048,25.0,20.0,23.0
1049,10.0,19.0,19.0
1050,12.0,15.0,18.0
1051,18.0,18.0,22.0
1052,17.0,20.0,28.0
1053,16.0,14.0,17.0
1054,12.0,17.0,19.0
1055,6.0,18.0,9.0
1056,17.0,18.0,17.0
1057,14.0,17.0,15.0
1058,24.0,19.0,22.0
1059,25.0,19.0,31.0
1060,14.0,15.0,26.0
1061,11.0,,2.0
1062,14.0,18.0,19.0
1063,15.0,18.0,17.0
1065,7.0,18.0,14.0
1067,19.0,17.0,28.0
1069,15.0,17.0,22.0
1070,14.0,19.0,19.0
1071,13.0,11.0,17.0
1072,17.0,19.0,25.0
1073,19.0,17.0,13.0
1074,11.0,20.0,28.0
1075,5.0,18.0,31.0
1079,14.0,,19.0
1080,21.0,15.0,17.0
1082,10.0,17.0,21.0
1083,13.0,19.0,28.0
1086,13.0,19.0,22.0
1087,11.0,19.0,21.0
1088,23.0,19.0,19.0
1089,9.0,20.0,21.0
1090,23.0,19.0,28.0
1093,13.0,18.0,15.0
1094,16.0,19.0,25.0
1095,10.0,15.0,13.0
1096,11.0,20.0,16.0
1097,23.0,18.0,0.0
1098,14.0,15.0,15.0
1099,11.0,19.0,16.0
1100,22.0,18.0,23.0
1101,10.0,16.0,21.0
1102,12.0,14.0,17.0
1104,15.0,15.0,22.0
1105,17.0,18.0,17.0
1106,12.0,17.0,17.0
1107,11.0,19.0,15.0
1112,22.0,15.0,16.0
1113,16.0,,24.0
1114,13.0,20.0,23.0
1115,13.0,15.0,15.0
1116,15.0,17.0,16.0
1117,13.0,18.0,16.0
1118,11.0,20.0,22.0
1119,14.0,18.0,18.0
1120,18.0,18.0,20.0
1123,15.0,18.0,21.0
1124,13.0,20.0,31.0
1125,6.0,,24.0
1128,10.0,18.0,9.0
1130,11.0,19.0,16.0
1131,16.0,19.0,25.0
1132,20.0,20.0,21.0
1133,16.0,19.0,12.0
1134,15.0,17.0,22.0
1135,19.0,15.0,16.0
1136,19.0,19.0,20.0
1138,15.0,19.0,18.0
1139,11.0,20.0,18.0
1140,23.0,19.0,17.0
1141,16.0,20.0,26.0
1142,18.0,17.0,15.0
1144,16.0,15.0,16.0
1146,10.0,19.0,24.0
1147,25.0,17.0,30.0
1148,16.0,16.0,16.0
1149,20.0,20.0,37.0
1150,14.0,17.0,20.0
1152,17.0,20.0,18.0
1155,11.0,16.0,21.0
1160,17.0,17.0,28.0
1161,24.0,19.0,19.0
1162,8.0,15.0,19.0
1164,13.0,20.0,27.0
1165,17.0,13.0,31.0
1166,18.0,19.0,24.0
1167,17.0,20.0,23.0
1168,13.0,20.0,26.0
1169,14.0,17.0,21.0
1170,11.0,13.0,17.0
1172,15.0,19.0,22.0
1174,10.0,10.0,14.0
1175,13.0,20.0,22.0
1176,11.0,,8.0
1177,21.0,20.0,33.0
1179,18.0,19.0,23.0
1180,11.0,19.0,18.0
1183,11.0,19.0,26.0
1185,21.0,20.0,22.0
1186,17.0,17.0,26.0
1188,19.0,10.0,22.0
1189,23.0,18.0,20.0
1190,16.0,19.0,25.0
1191,8.0,20.0,23.0
1192,25.0,17.0,14.0
1193,16.0,20.0,29.0
1194,13.0,20.0,19.0
1195,17.0,19.0,3.0
1196,14.0,19.0,21.0
1198,20.0,19.0,23.0
1199,12.0,20.0,24.0
1200,19.0,17.0,17.0
1201,22.0,19.0,26.0
1202,15.0,16.0,12.0
1203,16.0,16.0,22.0
1204,11.0,17.0,21.0
1205,9.0,19.0,15.0
1206,19.0,19.0,25.0
1207,22.0,18.0,25.0
1209,11.0,13.0,6.0
1211,4.0,17.0,10.0
1212,12.0,11.0,7.0
1213,5.0,17.0,13.0
1214,12.0,16.0,18.0
1215,19.0,17.0,27.0
1216,22.0,19.0,17.0
1217,12.0,18.0,16.0
1218,15.0,15.0,17.0
1219,14.0,18.0,16.0
1220,13.0,20.0,13.0
1222,7.0,,11.0
1223,13.0,17.0,27.0
1225,16.0,18.0,18.0
1227,16.0,17.0,24.0
1228,20.0,19.0,22.0
1229,16.0,20.0,33.0
1230,15.0,20.0,30.0
1232,12.0,18.0,23.0
1233,18.0,19.0,26.0
1234,12.0,16.0,15.0
1235,9.0,18.0,18.0
1237,20.0,20.0,37.0
1238,25.0,16.0,18.0
1239,15.0,13.0,17.0
1240,13.0,18.0,19.0
1241,11.0,13.0,18.0
1242,12.0,20.0,13.0
1244,13.0,18.0,16.0
1245,3.0,19.0,17.0
1246,24.0,19.0,28.0
1247,7.0,18.0,25.0
1248,14.0,20.0,17.0
1249,3.0,20.0,18.0
1250,18.0,19.0,31.0
1251,10.0,15.0,14.0
1252,15.0,19.0,19.0
1253,18.0,20.0,33.0
1254,15.0,17.0,29.0
1255,11.0,18.0,17.0
1257,16.0,18.0,1.0
1258,18.0,16.0,17.0
1264,9.0,15.0,25.0
1266,17.0,19.0,17.0
1267,12.0,17.0,10.0
1268,17.0,19.0,27.0
1271,10.0,19.0,23.0
1274,15.0,20.0,18.0
1275,8.0,17.0,16.0
1276,14.0,16.0,22.0
1277,13.0,20.0,19.0
1278,21.0,17.0,23.0
1280,21.0,20.0,25.0
1281,17.0,20.0,19.0
1282,21.0,20.0,20.0
1283,25.0,20.0,22.0
1284,18.0,16.0,22.0
1285,18.0,19.0,19.0
1286,13.0,17.0,22.0
1288,18.0,20.0,27.0
1290,12.0,19.0,20.0
1291,9.0,16.0,16.0
1292,13.0,15.0,23.0
1293,12.0,19.0,14.0
1294,10.0,18.0,19.0
1295,18.0,18.0,19.0
1297,21.0,18.0,28.0
1298,12.0,,12.0
1299,22.0,13.0,20.0
1302,11.0,,15.0
1304,19.0,18.0,27.0
1305,14.0,16.0,26.0
1308,18.0,10.0,22.0
1309,14.0,13.0,13.0
1310,13.0,20.0,21.0
1311,21.0,18.0,22.0
1312,28.0,19.0,28.0
1313,10.0,20.0,27.0
1314,12.0,18.0,15.0
1315,14.0,16.0,13.0
1316,9.0,12.0,18.0
1317,20.0,19.0,16.0
1318,11.0,,15.0
1319,17.0,18.0,26.0
1320,11.0,15.0,14.0
1322,12.0,18.0,23.0
1324,14.0,20.0,34.0
1325,18.0,19.0,24.0
1326,15.0,19.0,25.0
1327,7.0,16.0,22.0
1328,15.0,19.0,27.0
1330,15.0,17.0,13.0
1331,19.0,19.0,16.0
1332,10.0,17.0,10.0
1334,19.0,19.0,18.0
1336,9.0,18.0,14.0
