Subject_ID,Age,Gender,Education,Language,Country,Socioeconomic
820,62.0,f,master,english_american,usa,7.0
821,65.0,f,vocational,english_british,uk,7.0
822,60.0,m,bachelor,english_british,uk,5.0
823,67.0,f,high_school,english_british,uk,7.0
824,69.0,m,high_school,english_british,uk,7.0
826,63.0,f,high_school,english_british,uk,4.0
827,64.0,f,bachelor,english_british,uk,4.0
828,63.0,m,vocational,english_british,uk,6.0
829,68.0,m,bachelor,english_british,uk,6.0
830,63.0,m,bachelor,english_british,uk,7.0
831,72.0,m,bachelor,english_british,uk,7.0
833,60.0,m,bachelor,english_american,usa,6.0
834,73.0,m,bachelor,english_british,uk,6.0
835,65.0,m,bachelor,english_british,uk,5.0
836,66.0,f,bachelor,english_british,uk,7.0
838,64.0,f,phd,english_british,uk,7.0
